Usuario,TimeStamp,angry,disgust,fear,happy,sad,surprise,neutral,Dominant_Emotion
Anxo,2026-03-08 09:21:54.503,0.06,0.0,0.01,0.61,0.01,0.25,0.06,happy
Anxo,2026-03-08 09:21:54.588,0.06,0.0,0.01,0.53,0.01,0.3,0.09,happy
Anxo,2026-03-08 09:21:54.640,0.05,0.0,0.02,0.43,0.0,0.46,0.04,surprise
Anxo,2026-03-08 09:21:54.830,0.01,0.0,0.01,0.39,0.0,0.54,0.04,surprise
Anxo,2026-03-08 09:21:54.874,0.02,0.0,0.01,0.46,0.0,0.44,0.06,happy
Anxo,2026-03-08 09:21:54.911,0.04,0.0,0.01,0.8,0.0,0.12,0.03,happy
Anxo,2026-03-08 09:21:54.951,0.02,0.0,0.01,0.66,0.0,0.29,0.02,happy
Anxo,2026-03-08 09:21:55.000,0.01,0.0,0.0,0.44,0.0,0.52,0.02,surprise
Anxo,2026-03-08 09:21:55.133,0.03,0.0,0.01,0.52,0.0,0.42,0.02,happy
Anxo,2026-03-08 09:21:55.181,0.01,0.0,0.01,0.34,0.0,0.63,0.02,surprise
Anxo,2026-03-08 09:21:55.181,0.1,0.0,0.04,0.01,0.12,0.04,0.69,neutral
Anxo,2026-03-08 09:21:55.237,0.27,0.0,0.05,0.01,0.21,0.02,0.44,neutral
Anxo,2026-03-08 09:21:55.307,0.08,0.0,0.05,0.0,0.04,0.07,0.75,neutral
Anxo,2026-03-08 09:21:55.366,0.02,0.0,0.03,0.46,0.0,0.46,0.03,happy
Anxo,2026-03-08 09:21:55.366,0.09,0.0,0.06,0.0,0.08,0.05,0.72,neutral
Anxo,2026-03-08 09:21:55.428,0.03,0.0,0.02,0.5,0.0,0.38,0.05,happy
Anxo,2026-03-08 09:21:55.428,0.07,0.0,0.03,0.02,0.05,0.09,0.74,neutral
Anxo,2026-03-08 09:21:55.491,0.03,0.0,0.04,0.42,0.01,0.46,0.04,surprise
Anxo,2026-03-08 09:21:55.491,0.11,0.0,0.09,0.01,0.08,0.07,0.63,neutral
Anxo,2026-03-08 09:21:55.551,0.02,0.0,0.02,0.41,0.0,0.49,0.06,surprise
Anxo,2026-03-08 09:21:55.551,0.18,0.0,0.06,0.01,0.13,0.06,0.56,neutral
Anxo,2026-03-08 09:21:56.785,0.01,0.0,0.0,0.34,0.0,0.65,0.01,surprise
Anxo,2026-03-08 09:21:56.786,0.2,0.0,0.06,0.01,0.09,0.04,0.6,neutral
Anxo,2026-03-08 09:21:56.847,0.01,0.0,0.0,0.59,0.0,0.39,0.01,happy
Anxo,2026-03-08 09:21:56.847,0.16,0.0,0.05,0.01,0.08,0.06,0.63,neutral
Anxo,2026-03-08 09:21:56.915,0.0,0.0,0.0,0.77,0.0,0.22,0.01,happy
Anxo,2026-03-08 09:21:56.916,0.2,0.0,0.07,0.01,0.09,0.08,0.55,neutral
Anxo,2026-03-08 09:21:56.975,0.14,0.0,0.05,0.0,0.12,0.03,0.66,neutral
Anxo,2026-03-08 09:21:57.041,0.08,0.0,0.04,0.0,0.05,0.01,0.82,neutral
Anxo,2026-03-08 09:21:57.110,0.12,0.0,0.04,0.01,0.09,0.02,0.72,neutral
Anxo,2026-03-08 09:21:57.180,0.0,0.0,0.0,0.84,0.0,0.16,0.0,happy
Anxo,2026-03-08 09:21:57.181,0.06,0.0,0.02,0.01,0.04,0.01,0.86,neutral
Anxo,2026-03-08 09:21:57.255,0.0,0.0,0.0,0.81,0.0,0.19,0.0,happy
Anxo,2026-03-08 09:21:57.255,0.11,0.0,0.08,0.01,0.13,0.06,0.62,neutral
Anxo,2026-03-08 09:21:57.325,0.0,0.0,0.0,0.93,0.0,0.07,0.0,happy
Anxo,2026-03-08 09:21:57.326,0.09,0.0,0.04,0.0,0.08,0.02,0.76,neutral
Anxo,2026-03-08 09:21:57.398,0.0,0.0,0.0,0.92,0.0,0.08,0.0,happy
Anxo,2026-03-08 09:21:57.398,0.13,0.0,0.05,0.0,0.18,0.04,0.59,neutral
Anxo,2026-03-08 09:21:57.465,0.0,0.0,0.0,0.95,0.0,0.05,0.0,happy
Anxo,2026-03-08 09:21:57.466,0.22,0.0,0.06,0.0,0.15,0.03,0.54,neutral
Anxo,2026-03-08 09:21:57.531,0.0,0.0,0.0,0.95,0.0,0.05,0.0,happy
Anxo,2026-03-08 09:21:57.600,0.0,0.0,0.0,0.89,0.0,0.11,0.01,happy
Anxo,2026-03-08 09:21:57.669,0.0,0.0,0.0,0.7,0.0,0.29,0.0,happy
Anxo,2026-03-08 09:21:57.733,0.0,0.0,0.0,0.89,0.0,0.1,0.0,happy
Anxo,2026-03-08 09:21:57.797,0.0,0.0,0.0,0.76,0.0,0.23,0.0,happy
Anxo,2026-03-08 09:21:57.866,0.0,0.0,0.0,0.96,0.0,0.03,0.0,happy
Anxo,2026-03-08 09:21:57.942,0.0,0.0,0.0,0.91,0.0,0.09,0.0,happy
Anxo,2026-03-08 09:21:58.007,0.0,0.0,0.0,0.94,0.0,0.06,0.0,happy
Anxo,2026-03-08 09:21:58.071,0.0,0.0,0.0,0.94,0.0,0.06,0.0,happy
Anxo,2026-03-08 09:21:58.132,0.0,0.0,0.0,0.83,0.0,0.17,0.0,happy
Anxo,2026-03-08 09:21:58.191,0.0,0.0,0.0,0.88,0.0,0.12,0.0,happy
Anxo,2026-03-08 09:21:58.249,0.0,0.0,0.0,0.58,0.0,0.41,0.01,happy
Anxo,2026-03-08 09:21:58.304,0.0,0.0,0.02,0.45,0.0,0.42,0.1,happy
Anxo,2026-03-08 09:21:58.361,0.01,0.0,0.02,0.33,0.01,0.06,0.57,neutral
Anxo,2026-03-08 09:21:58.426,0.01,0.0,0.02,0.49,0.01,0.26,0.21,happy
Anxo,2026-03-08 09:21:58.490,0.0,0.0,0.01,0.71,0.0,0.13,0.15,happy
Anxo,2026-03-08 09:21:58.543,0.0,0.0,0.0,0.8,0.0,0.17,0.03,happy
Anxo,2026-03-08 09:21:58.599,0.0,0.0,0.0,0.87,0.0,0.13,0.01,happy
Anxo,2026-03-08 09:21:58.651,0.0,0.0,0.01,0.71,0.0,0.25,0.03,happy
Anxo,2026-03-08 09:21:58.703,0.03,0.0,0.09,0.31,0.02,0.33,0.23,surprise
Anxo,2026-03-08 09:21:58.752,0.02,0.0,0.05,0.43,0.01,0.32,0.17,happy
Anxo,2026-03-08 09:21:58.801,0.01,0.0,0.03,0.58,0.01,0.18,0.19,happy
Anxo,2026-03-08 09:21:58.848,0.01,0.0,0.01,0.65,0.0,0.19,0.13,happy
Anxo,2026-03-08 09:21:58.895,0.0,0.0,0.01,0.74,0.0,0.12,0.13,happy
Anxo,2026-03-08 09:21:58.944,0.0,0.0,0.01,0.47,0.0,0.06,0.45,happy
Anxo,2026-03-08 09:21:58.991,0.0,0.0,0.01,0.55,0.0,0.1,0.34,happy
Anxo,2026-03-08 09:21:59.035,0.0,0.0,0.0,0.78,0.0,0.05,0.17,happy
Anxo,2026-03-08 09:21:59.079,0.0,0.0,0.01,0.78,0.0,0.05,0.16,happy
Anxo,2026-03-08 09:21:59.122,0.01,0.0,0.04,0.46,0.01,0.16,0.32,happy
Anxo,2026-03-08 09:21:59.166,0.01,0.0,0.03,0.51,0.01,0.12,0.32,happy
Anxo,2026-03-08 09:21:59.207,0.01,0.0,0.04,0.43,0.01,0.2,0.31,happy
Anxo,2026-03-08 09:21:59.249,0.01,0.0,0.03,0.45,0.01,0.23,0.28,happy
Anxo,2026-03-08 09:21:59.289,0.01,0.0,0.04,0.28,0.01,0.34,0.32,surprise
Anxo,2026-03-08 09:21:59.330,0.01,0.0,0.09,0.17,0.01,0.64,0.09,surprise
Anxo,2026-03-08 09:21:59.373,0.01,0.0,0.04,0.21,0.01,0.62,0.11,surprise
Anxo,2026-03-08 09:21:59.413,0.01,0.0,0.03,0.42,0.0,0.22,0.32,happy
Anxo,2026-03-08 09:21:59.450,0.0,0.0,0.01,0.48,0.0,0.46,0.05,happy
Anxo,2026-03-08 09:21:59.487,0.0,0.0,0.0,0.37,0.0,0.62,0.01,surprise
