Usuario,TimeStamp,angry,disgust,fear,happy,sad,surprise,neutral,Dominant_Emotion
tester1,2026-03-08 08:51:54.048,0.05,0.0,0.05,0.01,0.02,0.04,0.83,neutral
tester1,2026-03-08 08:51:54.224,0.01,0.0,0.06,0.02,0.01,0.31,0.59,neutral
tester1,2026-03-08 08:51:54.315,0.02,0.0,0.1,0.01,0.01,0.12,0.74,neutral
tester1,2026-03-08 08:51:54.412,0.01,0.0,0.05,0.01,0.0,0.26,0.66,neutral
tester1,2026-03-08 08:51:54.496,0.04,0.0,0.07,0.01,0.01,0.07,0.8,neutral
tester1,2026-03-08 08:51:54.578,0.01,0.0,0.05,0.01,0.01,0.4,0.53,neutral
tester1,2026-03-08 08:51:54.664,0.03,0.0,0.15,0.02,0.02,0.47,0.32,surprise
tester1,2026-03-08 08:51:54.748,0.01,0.0,0.11,0.01,0.04,0.09,0.74,neutral
tester1,2026-03-08 08:51:54.834,0.02,0.0,0.34,0.0,0.12,0.08,0.44,neutral
tester1,2026-03-08 08:51:54.921,0.08,0.0,0.26,0.0,0.2,0.04,0.42,neutral
tester1,2026-03-08 08:51:55.009,0.03,0.0,0.09,0.0,0.05,0.02,0.81,neutral
tester1,2026-03-08 08:51:55.096,0.01,0.0,0.07,0.0,0.04,0.02,0.86,neutral
tester1,2026-03-08 08:51:55.192,0.01,0.0,0.04,0.0,0.02,0.02,0.91,neutral
tester1,2026-03-08 08:51:55.270,0.02,0.0,0.05,0.0,0.02,0.01,0.89,neutral
tester1,2026-03-08 08:51:55.346,0.01,0.0,0.02,0.0,0.01,0.01,0.95,neutral
tester1,2026-03-08 08:51:55.420,0.01,0.0,0.02,0.0,0.01,0.0,0.96,neutral
tester1,2026-03-08 08:51:55.492,0.0,0.0,0.02,0.0,0.02,0.0,0.95,neutral
tester1,2026-03-08 08:51:55.561,0.01,0.0,0.04,0.0,0.02,0.01,0.93,neutral
tester1,2026-03-08 08:51:55.630,0.0,0.0,0.02,0.0,0.01,0.0,0.96,neutral
tester1,2026-03-08 08:51:55.702,0.01,0.0,0.04,0.01,0.01,0.06,0.87,neutral
tester1,2026-03-08 08:51:55.769,0.01,0.0,0.02,0.01,0.02,0.02,0.93,neutral
tester1,2026-03-08 08:51:55.836,0.01,0.0,0.02,0.01,0.01,0.01,0.94,neutral
tester1,2026-03-08 08:51:55.897,0.02,0.0,0.06,0.01,0.05,0.01,0.86,neutral
tester1,2026-03-08 08:51:55.960,0.02,0.0,0.04,0.01,0.03,0.01,0.89,neutral
tester1,2026-03-08 08:51:56.023,0.01,0.0,0.07,0.01,0.03,0.01,0.87,neutral
tester1,2026-03-08 08:51:56.091,0.01,0.0,0.02,0.01,0.01,0.01,0.93,neutral
tester1,2026-03-08 08:51:56.152,0.01,0.0,0.07,0.01,0.04,0.01,0.85,neutral
tester1,2026-03-08 08:51:56.211,0.01,0.0,0.02,0.0,0.02,0.0,0.94,neutral
tester1,2026-03-08 08:51:56.278,0.01,0.0,0.06,0.0,0.04,0.01,0.88,neutral
tester1,2026-03-08 08:51:56.341,0.01,0.0,0.05,0.0,0.04,0.0,0.89,neutral
tester1,2026-03-08 08:51:56.397,0.01,0.0,0.03,0.0,0.03,0.0,0.93,neutral
tester1,2026-03-08 08:51:56.458,0.01,0.0,0.02,0.01,0.02,0.0,0.94,neutral
tester1,2026-03-08 08:51:56.517,0.01,0.0,0.03,0.03,0.03,0.01,0.88,neutral
tester1,2026-03-08 08:51:56.568,0.02,0.0,0.04,0.03,0.03,0.02,0.87,neutral
tester1,2026-03-08 08:51:56.621,0.03,0.0,0.07,0.01,0.04,0.02,0.83,neutral
