Usuario,TimeStamp,Emocion,Confianza_en_prediccion
diego,2026-03-07 18:50:41.732,neutral,0.53
diego,2026-03-07 18:50:41.816,neutral,0.79
diego,2026-03-07 18:50:41.861,neutral,0.44
diego,2026-03-07 18:50:41.903,neutral,0.68
diego,2026-03-07 18:50:41.949,neutral,0.75
diego,2026-03-07 18:50:41.999,neutral,0.78
diego,2026-03-07 18:50:42.041,neutral,0.54
diego,2026-03-07 18:50:42.091,neutral,0.57
diego,2026-03-07 18:50:42.142,neutral,0.65
diego,2026-03-07 18:50:42.203,neutral,0.75
diego,2026-03-07 18:50:42.263,neutral,0.82
diego,2026-03-07 18:50:42.334,neutral,0.75
diego,2026-03-07 18:50:42.399,neutral,0.7
diego,2026-03-07 18:50:42.477,neutral,0.75
diego,2026-03-07 18:50:42.564,neutral,0.68
diego,2026-03-07 18:50:42.638,neutral,0.27
diego,2026-03-07 18:50:42.707,neutral,0.48
diego,2026-03-07 18:50:42.781,neutral,0.45
diego,2026-03-07 18:50:42.850,neutral,0.49
diego,2026-03-07 18:50:42.946,sad,0.44
diego,2026-03-07 18:50:43.060,neutral,0.52
diego,2026-03-07 18:50:43.148,neutral,0.38
diego,2026-03-07 18:50:43.216,neutral,0.62
diego,2026-03-07 18:50:43.288,neutral,0.9
diego,2026-03-07 18:50:43.361,neutral,0.79
diego,2026-03-07 18:50:43.434,neutral,0.7
diego,2026-03-07 18:50:43.499,happy,0.51
diego,2026-03-07 18:50:43.572,happy,0.81
diego,2026-03-07 18:50:43.637,happy,0.71
diego,2026-03-07 18:50:43.720,happy,0.69
diego,2026-03-07 18:50:43.800,happy,0.91
diego,2026-03-07 18:50:43.872,happy,0.81
diego,2026-03-07 18:50:43.948,happy,0.77
diego,2026-03-07 18:50:44.029,happy,0.86
diego,2026-03-07 18:50:44.107,happy,0.92
diego,2026-03-07 18:50:44.205,happy,0.73
diego,2026-03-07 18:50:44.295,happy,0.78
diego,2026-03-07 18:50:44.379,angry,0.43
diego,2026-03-07 18:50:44.484,happy,0.84
diego,2026-03-07 18:50:44.580,happy,0.76
diego,2026-03-07 18:50:44.670,happy,0.65
diego,2026-03-07 18:50:44.731,happy,0.55
diego,2026-03-07 18:50:44.793,happy,0.7
diego,2026-03-07 18:50:44.851,happy,0.51
diego,2026-03-07 18:50:44.908,neutral,0.56
diego,2026-03-07 18:50:44.966,happy,0.77
diego,2026-03-07 18:50:45.024,happy,0.54
diego,2026-03-07 18:50:45.075,happy,0.72
diego,2026-03-07 18:50:45.126,happy,0.73
diego,2026-03-07 18:50:45.176,happy,0.62
diego,2026-03-07 18:50:45.224,neutral,0.53
diego,2026-03-07 18:50:45.273,happy,0.66
diego,2026-03-07 18:50:45.321,neutral,0.79
diego,2026-03-07 18:50:45.366,neutral,0.76
diego,2026-03-07 18:50:45.416,neutral,0.63
diego,2026-03-07 18:50:45.466,neutral,0.66
diego,2026-03-07 18:50:45.510,neutral,0.57
diego,2026-03-07 18:50:45.554,neutral,0.26
diego,2026-03-07 18:50:45.602,angry,0.43
diego,2026-03-07 18:50:45.646,happy,0.3
diego,2026-03-07 18:50:45.691,fear,0.37
diego,2026-03-07 18:50:45.732,neutral,0.36
diego,2026-03-07 18:50:45.777,neutral,0.47
diego,2026-03-07 18:50:45.819,angry,0.65
diego,2026-03-07 18:50:45.862,neutral,0.43
diego,2026-03-07 18:50:45.902,fear,0.33
diego,2026-03-07 18:50:45.942,fear,0.42
diego,2026-03-07 18:50:45.983,fear,0.38
diego,2026-03-07 18:50:46.023,fear,0.73
diego,2026-03-07 18:50:46.061,fear,0.7
diego,2026-03-07 18:50:46.098,fear,0.59
diego,2026-03-07 18:50:46.136,fear,0.39
diego,2026-03-07 18:50:46.172,fear,0.36
diego,2026-03-07 18:50:46.207,neutral,0.36
diego,2026-03-07 18:50:46.244,neutral,0.49
diego,2026-03-07 18:50:46.279,neutral,0.56
diego,2026-03-07 18:50:46.317,neutral,0.63
diego,2026-03-07 18:50:46.351,neutral,0.58
diego,2026-03-07 18:50:46.388,neutral,0.86
diego,2026-03-07 18:50:46.422,neutral,0.75
diego,2026-03-07 18:50:46.463,neutral,0.7
diego,2026-03-07 18:50:46.498,neutral,0.73
diego,2026-03-07 18:50:46.533,neutral,0.83
diego,2026-03-07 18:50:46.569,neutral,0.89
diego,2026-03-07 18:50:46.603,neutral,0.91
diego,2026-03-07 18:50:46.637,neutral,0.8
diego,2026-03-07 18:50:46.673,neutral,0.85
diego,2026-03-07 18:50:46.709,neutral,0.85
diego,2026-03-07 18:50:46.746,neutral,0.89
diego,2026-03-07 18:50:46.786,neutral,0.9
diego,2026-03-07 18:50:46.824,neutral,0.74
diego,2026-03-07 18:50:46.865,neutral,0.92
diego,2026-03-07 18:50:46.908,neutral,0.9
diego,2026-03-07 18:50:46.942,neutral,0.9
diego,2026-03-07 18:50:46.978,neutral,0.9
diego,2026-03-07 18:50:47.015,neutral,0.88
diego,2026-03-07 18:50:47.053,neutral,0.91
diego,2026-03-07 18:50:47.090,neutral,0.84
diego,2026-03-07 18:50:47.126,neutral,0.88
diego,2026-03-07 18:50:47.161,neutral,0.85
diego,2026-03-07 18:50:47.200,neutral,0.51
diego,2026-03-07 18:50:47.242,angry,0.51
diego,2026-03-07 18:50:47.277,angry,0.4
diego,2026-03-07 18:50:47.311,neutral,0.72
diego,2026-03-07 18:50:47.346,neutral,0.79
diego,2026-03-07 18:50:47.382,neutral,0.88
diego,2026-03-07 18:50:47.417,neutral,0.68
diego,2026-03-07 18:50:47.451,neutral,0.58
diego,2026-03-07 18:50:47.484,neutral,0.54
diego,2026-03-07 18:50:47.517,neutral,0.53
