Timestamp,Dominant_Emotion,Confidence_Score
2026-03-07 17:45:21.849,happy,0.49
2026-03-07 17:45:21.938,happy,0.39
2026-03-07 17:45:22.118,angry,0.46
2026-03-07 17:45:22.209,angry,0.27
2026-03-07 17:45:22.262,angry,0.32
2026-03-07 17:45:22.315,sad,0.52
2026-03-07 17:45:22.376,sad,0.68
2026-03-07 17:45:22.729,happy,0.48
2026-03-07 17:45:22.975,happy,0.42
2026-03-07 17:45:23.064,happy,0.49
2026-03-07 17:45:23.244,angry,0.3
2026-03-07 17:45:24.216,happy,0.64
2026-03-07 17:45:24.449,neutral,0.31
2026-03-07 17:45:24.529,sad,0.3
2026-03-07 17:45:24.736,angry,0.35
2026-03-07 17:45:24.805,happy,0.43
2026-03-07 17:45:24.872,happy,0.35
2026-03-07 17:45:24.943,happy,0.38
2026-03-07 17:45:25.016,neutral,0.56
2026-03-07 17:45:25.087,neutral,0.38
2026-03-07 17:45:25.150,happy,0.29
2026-03-07 17:45:25.212,neutral,0.39
2026-03-07 17:45:25.275,happy,0.34
2026-03-07 17:45:25.364,neutral,0.73
2026-03-07 17:45:25.433,neutral,0.37
2026-03-07 17:45:25.489,happy,0.38
2026-03-07 17:45:25.545,sad,0.3
2026-03-07 17:45:25.599,neutral,0.44
2026-03-07 17:45:25.650,neutral,0.69
2026-03-07 17:45:25.705,happy,0.45
2026-03-07 17:45:25.756,neutral,0.73
2026-03-07 17:45:25.808,neutral,0.57
2026-03-07 17:45:25.854,neutral,0.52
2026-03-07 17:45:25.902,neutral,0.86
2026-03-07 17:45:25.950,neutral,0.78
2026-03-07 17:45:25.997,neutral,0.6
2026-03-07 17:45:26.044,neutral,0.52
2026-03-07 17:45:26.087,neutral,0.63
2026-03-07 17:45:26.131,neutral,0.7
2026-03-07 17:45:26.173,neutral,0.71
2026-03-07 17:45:26.218,neutral,0.63
2026-03-07 17:45:26.261,neutral,0.65
2026-03-07 17:45:26.303,happy,0.67
2026-03-07 17:45:26.345,happy,0.94
2026-03-07 17:45:26.388,happy,0.87
2026-03-07 17:45:26.431,happy,0.76
2026-03-07 17:45:26.475,happy,0.65
2026-03-07 17:45:26.522,happy,0.92
2026-03-07 17:45:26.567,happy,0.73
2026-03-07 17:45:26.609,happy,0.77
2026-03-07 17:45:26.652,happy,0.62
2026-03-07 17:45:26.694,happy,0.54
2026-03-07 17:45:26.741,happy,0.34
2026-03-07 17:45:26.784,happy,0.44
2026-03-07 17:45:26.833,sad,0.35
2026-03-07 17:45:26.878,happy,0.27
2026-03-07 17:45:26.920,sad,0.33
2026-03-07 17:45:26.961,angry,0.28
2026-03-07 17:45:27.004,sad,0.33
2026-03-07 17:45:27.045,sad,0.46
2026-03-07 17:45:27.085,sad,0.36
2026-03-07 17:45:27.127,sad,0.41
2026-03-07 17:45:27.168,sad,0.57
2026-03-07 17:45:27.207,sad,0.37
2026-03-07 17:45:27.248,happy,0.47
2026-03-07 17:45:27.290,happy,0.4
2026-03-07 17:45:27.331,happy,0.42
2026-03-07 17:45:27.375,angry,0.31
2026-03-07 17:45:27.456,happy,0.39
2026-03-07 17:45:27.499,angry,0.28
2026-03-07 17:45:27.546,angry,0.4
2026-03-07 17:45:27.587,angry,0.32
2026-03-07 17:45:27.629,happy,0.41
2026-03-07 17:45:27.670,sad,0.3
2026-03-07 17:45:27.711,sad,0.33
2026-03-07 17:45:27.752,angry,0.47
2026-03-07 17:45:27.795,happy,0.28
2026-03-07 17:45:27.843,happy,0.29
2026-03-07 17:45:27.882,happy,0.38
2026-03-07 17:45:27.922,sad,0.3
2026-03-07 17:45:27.959,sad,0.28
2026-03-07 17:45:28.000,sad,0.32
2026-03-07 17:45:28.037,happy,0.42
2026-03-07 17:45:28.076,happy,0.29
2026-03-07 17:45:28.113,angry,0.33
2026-03-07 17:45:28.152,angry,0.4
2026-03-07 17:45:28.192,angry,0.31
2026-03-07 17:45:28.232,sad,0.29
2026-03-07 17:45:28.311,sad,0.49
2026-03-07 17:45:28.350,sad,0.4
2026-03-07 17:45:28.429,sad,0.3
2026-03-07 17:45:28.472,happy,0.35
2026-03-07 17:45:28.472,sad,0.65
2026-03-07 17:45:28.512,happy,0.52
2026-03-07 17:45:28.552,neutral,0.33
2026-03-07 17:45:28.594,happy,0.56
2026-03-07 17:45:28.636,happy,0.58
2026-03-07 17:45:28.636,angry,0.46
2026-03-07 17:45:28.676,neutral,0.54
2026-03-07 17:45:28.721,neutral,0.51
