Usuario,TimeStamp,Emocion,Confianza_en_prediccion
t1,2026-03-07 22:41:30.354,angry,0.52
t1,2026-03-07 22:41:30.432,angry,0.54
t1,2026-03-07 22:41:30.476,angry,0.55
t1,2026-03-07 22:41:30.532,angry,0.52
t1,2026-03-07 22:41:30.579,angry,0.35
t1,2026-03-07 22:41:30.623,angry,0.43
t1,2026-03-07 22:41:30.668,neutral,0.41
t1,2026-03-07 22:41:30.728,neutral,0.44
t1,2026-03-07 22:41:30.772,neutral,0.54
t1,2026-03-07 22:41:30.817,neutral,0.56
t1,2026-03-07 22:41:32.858,neutral,0.95
t1,2026-03-07 22:41:32.915,neutral,0.95
t1,2026-03-07 22:41:32.981,sad,0.6
t1,2026-03-07 22:41:33.115,neutral,0.96
t1,2026-03-07 22:41:33.455,neutral,0.94
t1,2026-03-07 22:41:33.585,neutral,0.93
t1,2026-03-07 22:41:33.654,neutral,0.91
t1,2026-03-07 22:41:33.724,neutral,0.95
t1,2026-03-07 22:41:33.784,neutral,0.87
t1,2026-03-07 22:43:17.490,neutral,0.42
t1,2026-03-07 22:43:17.626,neutral,0.39
t1,2026-03-07 22:43:18.958,neutral,0.29
t1,2026-03-07 22:43:19.097,sad,0.25
t1,2026-03-07 22:43:19.496,happy,0.38
t1,2026-03-07 22:43:19.633,neutral,0.35
t1,2026-03-07 22:43:19.899,happy,0.5
t1,2026-03-07 22:43:20.034,happy,0.4
t1,2026-03-07 22:43:20.168,happy,0.42
t1,2026-03-07 22:43:20.299,happy,0.62
t1,2026-03-07 22:43:20.443,happy,0.51
t1,2026-03-07 22:43:20.710,neutral,0.33
t1,2026-03-07 22:43:20.841,neutral,0.39
t1,2026-03-07 22:43:20.972,happy,0.49
t1,2026-03-07 22:43:21.106,angry,0.28
t1,2026-03-07 22:43:21.912,happy,0.49
t1,2026-03-07 22:43:22.044,angry,0.43
t1,2026-03-07 22:43:27.695,neutral,0.39
t1,2026-03-07 22:43:27.825,neutral,0.53
t1,2026-03-07 22:43:28.079,neutral,0.38
t1,2026-03-07 22:43:28.210,neutral,0.45
t1,2026-03-07 22:43:28.361,neutral,0.41
t1,2026-03-07 22:43:28.488,neutral,0.51
t1,2026-03-07 22:43:37.776,sad,0.28
t1,2026-03-07 22:43:37.906,neutral,0.34
t1,2026-03-07 22:43:38.002,neutral,0.41
t1,2026-03-07 22:43:38.146,neutral,0.53
t1,2026-03-07 22:43:38.271,neutral,0.34
t1,2026-03-07 22:43:38.400,sad,0.41
t1,2026-03-07 22:43:38.536,sad,0.29
t1,2026-03-07 22:43:38.666,sad,0.37
t1,2026-03-07 22:43:38.806,neutral,0.33
t1,2026-03-07 22:43:39.471,angry,0.3
t1,2026-03-07 22:43:41.083,happy,0.46
t1,2026-03-07 22:43:41.351,neutral,0.39
